order_id,customer_id,product_id,quantity,order_date,status
0,66899,235,5,2025-11-22,Pending
1,44604,55,2,2026-01-26,Shipped
2,7451,208,3,2026-01-05,Cancelled
3,46026,60,2,2025-11-27,Cancelled
4,71466,115,4,2026-03-28,Shipped
5,48421,254,1,2025-07-13,Pending
6,3494,78,1,2026-02-10,Cancelled
7,98911,314,1,2025-11-20,Shipped
8,89979,146,4,2025-07-02,Shipped
9,25997,488,1,2025-05-10,Cancelled
10,29091,92,1,2026-01-26,Cancelled
11,59087,126,1,2025-10-04,Shipped
12,77213,396,1,2025-06-10,Cancelled
13,52548,101,2,2025-12-17,Cancelled
14,8259,312,4,2026-02-06,Cancelled
15,43398,135,2,2025-08-21,Cancelled
16,59941,334,5,2026-01-09,Cancelled
17,34074,351,3,2025-06-18,Pending
18,93208,278,4,2025-07-11,Shipped
19,25983,363,4,2025-11-18,Pending
20,27191,283,5,2026-01-07,Shipped
21,84364,179,3,2025-05-06,Pending
22,59872,334,4,2025-04-08,Shipped
23,74827,382,5,2025-11-14,Shipped
24,45533,250,5,2025-10-03,Shipped
25,74534,333,3,2026-02-07,Shipped
26,59892,432,3,2026-03-21,Cancelled
27,14349,148,3,2025-12-06,Cancelled
28,92543,53,5,2025-07-28,Shipped
29,7766,230,1,2025-10-31,Pending
30,18070,230,3,2025-06-04,Cancelled
31,53324,46,4,2025-08-31,Pending
32,41458,75,2,2025-05-29,Cancelled
33,12987,277,3,2026-03-17,Pending
34,79436,204,3,2025-08-26,Pending
35,10464,365,2,2026-03-29,Shipped
36,42367,150,2,2025-10-11,Cancelled
37,33212,360,5,2025-06-18,Pending
38,90792,49,1,2025-11-21,Cancelled
39,12421,209,1,2025-10-19,Shipped
40,88611,10,5,2025-04-08,Pending
41,2141,194,4,2025-09-10,Pending
42,83638,113,5,2026-03-14,Cancelled
43,10672,226,5,2025-07-06,Cancelled
44,2936,408,3,2025-07-21,Cancelled
45,60124,176,2,2025-10-17,Shipped
46,54005,454,5,2025-07-13,Shipped
47,62250,46,4,2026-01-11,Cancelled
48,98324,180,2,2026-01-30,Shipped
49,52769,238,4,2026-01-18,Cancelled
50,8849,180,1,2025-08-20,Cancelled
51,31874,15,5,2026-01-18,Cancelled
52,17365,205,5,2026-03-24,Cancelled
53,25468,13,5,2025-12-28,Pending
54,83111,258,1,2026-02-17,Pending
55,70759,26,1,2026-01-24,Shipped
56,72807,136,3,2025-11-06,Pending
57,32480,73,3,2025-04-14,Pending
58,51328,305,1,2025-09-01,Shipped
59,11591,178,4,2025-07-14,Cancelled
60,70831,108,5,2026-03-26,Pending
61,42523,268,3,2025-11-26,Cancelled
62,21803,216,4,2025-11-27,Pending
63,47281,315,4,2025-11-14,Cancelled
64,62940,346,3,2025-07-14,Shipped
65,83396,442,5,2025-07-04,Pending
66,20542,281,2,2025-06-15,Cancelled
67,84549,111,5,2025-05-14,Pending
68,21876,18,3,2025-11-24,Cancelled
69,68130,409,2,2025-12-08,Cancelled
70,81003,17,2,2025-09-29,Pending
71,16989,341,1,2026-03-20,Pending
72,52659,183,4,2025-11-06,Shipped
73,10232,489,5,2025-09-20,Shipped
74,84933,436,3,2025-05-19,Pending
75,28168,363,1,2025-05-28,Shipped
76,43304,283,5,2026-02-07,Pending
77,48514,201,1,2025-11-05,Shipped
78,71258,112,1,2025-11-09,Pending
79,49833,440,2,2025-04-19,Pending
80,53862,242,3,2026-02-20,Shipped
81,14259,137,4,2026-02-18,Cancelled
82,41466,449,3,2025-12-26,Shipped
83,13074,205,2,2025-11-05,Pending
84,90216,282,2,2025-09-16,Cancelled
85,95243,2,2,2025-07-05,Shipped
86,78930,50,4,2026-01-31,Pending
87,62366,400,4,2026-01-22,Shipped
88,38493,275,2,2025-09-08,Pending
89,89618,59,5,2025-06-23,Pending
90,11008,356,2,2025-06-17,Pending
91,16974,352,1,2025-10-25,Cancelled
92,54126,34,4,2026-01-26,Pending
93,8933,270,1,2026-01-02,Cancelled
94,99740,369,4,2025-04-19,Shipped
95,88185,95,5,2025-08-04,Pending
96,9465,32,4,2025-10-03,Pending
97,44529,454,1,2025-04-12,Cancelled
98,30295,363,4,2025-08-14,Shipped
99,81226,406,1,2025-09-04,Shipped
100,21435,332,1,2025-10-23,Shipped
101,5675,467,3,2025-08-02,Shipped
102,65799,448,4,2025-12-25,Shipped
103,75631,96,1,2025-09-03,Shipped
104,59226,94,3,2025-06-07,Pending
105,94728,112,1,2025-10-31,Cancelled
106,6856,332,5,2025-05-05,Shipped
107,94987,419,4,2026-03-07,Cancelled
108,88529,488,4,2025-04-05,Cancelled
109,75898,29,4,2025-12-17,Shipped
110,2094,299,4,2026-01-17,Shipped
111,89734,213,2,2025-07-01,Pending
112,24055,327,5,2025-06-04,Shipped
113,51912,96,1,2025-04-27,Pending
114,31871,275,3,2025-07-03,Pending
115,39213,147,5,2026-03-15,Shipped
116,53316,127,5,2025-08-15,Cancelled
117,38641,41,3,2025-06-20,Shipped
118,2718,257,4,2026-03-16,Pending
119,19013,312,4,2025-05-03,Cancelled
120,10430,129,4,2026-01-08,Cancelled
121,18632,286,2,2026-01-20,Pending
122,21304,100,5,2025-09-30,Pending
123,15345,143,5,2025-11-16,Shipped
124,98503,45,1,2025-07-13,Shipped
125,9152,440,1,2025-08-02,Pending
126,62919,328,4,2026-02-13,Shipped
127,45865,292,1,2025-10-31,Pending
128,73390,84,4,2025-12-06,Pending
129,71219,429,3,2026-01-11,Pending
130,78160,320,4,2025-11-25,Pending
131,894,426,2,2025-04-11,Shipped
132,89537,420,2,2025-09-15,Shipped
133,17110,401,3,2025-12-16,Shipped
134,73997,91,1,2026-03-27,Cancelled
135,82566,94,3,2025-10-14,Pending
136,8096,364,4,2025-10-20,Shipped
137,30583,413,2,2025-08-29,Shipped
138,88309,298,4,2025-08-13,Cancelled
139,34139,172,3,2025-09-23,Cancelled
140,26398,371,4,2026-03-09,Cancelled
141,84892,55,5,2025-06-24,Pending
142,25603,374,1,2025-12-25,Cancelled
143,64475,233,3,2026-01-26,Pending
144,55671,365,5,2025-08-20,Shipped
145,34860,150,2,2026-02-17,Pending
146,66718,136,3,2025-07-31,Pending
147,53272,348,3,2026-03-27,Pending
148,22642,396,2,2026-03-10,Pending
149,40028,224,4,2025-04-04,Cancelled
150,77704,296,5,2025-12-20,Shipped
151,99167,166,5,2025-11-29,Cancelled
152,19880,311,5,2026-03-25,Pending
153,51434,225,2,2025-12-15,Pending
154,8590,8,4,2025-12-18,Shipped
155,38913,232,3,2025-07-08,Pending
156,51922,409,1,2026-01-17,Cancelled
157,49260,438,4,2025-05-29,Shipped
158,59744,296,4,2026-03-12,Shipped
159,81418,384,2,2026-03-05,Shipped
160,11061,178,5,2025-07-08,Cancelled
161,26392,408,3,2025-09-08,Shipped
162,16868,2,4,2025-07-30,Pending
163,22784,334,4,2025-07-05,Shipped
164,27135,298,5,2025-07-15,Pending
165,18345,430,1,2026-01-20,Pending
166,1676,85,2,2025-12-29,Cancelled
167,44178,300,1,2025-09-02,Cancelled
168,45570,183,1,2025-05-05,Shipped
169,79173,35,3,2025-06-30,Shipped
170,41209,114,4,2025-07-26,Pending
171,67094,172,5,2025-10-23,Shipped
172,87162,168,2,2025-06-14,Shipped
173,86581,200,5,2025-11-18,Cancelled
174,94255,372,3,2026-02-24,Shipped
